city,Latitude,Longitude
Sha'are tiqwa,32.12,35.02
Ka'abiyye-tabbash-hajaj
Sajur,32.95,35.34
Z?ur hadassa,31.72,35.1
Mazra'a,32.99,35.1
Elqana,32.1,35.03
Allon shevut,31.67,35.12
Savyon,32.05,34.88
Qiryat ye'arim,31.82,35.1
Qedummim,32.2,35.15
Muqeible,32.52,35.29
Fassuta,33.05,35.31
Kafar kama,32.72,35.44
Merkaz shappira,30.61,35.19
Ramat ef'al,32.05,34.83
Yavne'el,32.71,35.5
Mi'elya,33.03,35.26
Jish,33.02,35.44
Elyakhin,32.4,34.92
Newe deqalim,31.35,34.27
Kaokab abu al-hija
Bet arye,32.03,35.05
'immanu'el,32.15,35.13
Uzeir,32.79,35.33
Rosh pinna,32.97,35.53
Sulam,32.61,35.33
Sheikh dannun,32.99,35.15
'ofra,31.92,35.23
Kefar tavor,32.69,35.42
Nordiyya,32.32,34.9
Eli,32.07,35.27
Nehalim,32.06,34.91
Ibtin,32.76,35.1
Kefar adummim,31.82,35.33
'ein qiniyye,31.93,35.15
Shilo,32.05,35.28
Har adar,31.82,35.13
Timrat,32.7,35.23
Sallama,32.9,35.37
Kefar shemaryahu,32.19,34.82
Talmon,31.93,35.12
Bet yizhaq,32.32,34.88
Nein,32.63,35.35
Na'ura,32.61,35.39
Rumat heib,32.78,35.31
